[2015-08-20 15:57:22] [Debug] [e:\luo\vcproject\ehome\ehomeclient\nbehomeclient.cpp-138:  0xF 0xFFFFFFF0 0xFFFFFF82 0x1 0x1 0x1 0x0 0x1 0x0 0x0 0x0 0x1 0xFFFFFF86 0x1]
[2015-08-20 16:32:36] [Debug] [e:\luo\vcproject\ehome\ehomeclient\nbehomeclient.cpp-138: ]
[2015-08-20 16:36:07] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 16:37:07] [Debug] [e:\luo\vcproject\ehome\ehomeclient\nbehomeclient.cpp-138:  0xF 0xFFFFFFF0 0xFFFFFF82 0x1 0x1 0x1 0x0 0x1 0x0 0x0 0x0 0x1 0xFFFFFF86 0x1]
[2015-08-20 16:41:08] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 16:42:28] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 16:47:28] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 17:05:40] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 17:06:50] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 17:14:26] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 17:16:31] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-20 17:41:28] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-21 10:56:15] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-21 16:54:21] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-24 14:28:40] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-24 17:22:28] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-24 17:30:43] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-25 15:49:40] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-25 15:53:41] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 11:13:36] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 16:31:26] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 16:47:44] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 16:50:44] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:06:08] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:07:08] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:07:53] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:13:14] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:23:31] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 17:25:44] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-26 18:16:18] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-135: start client]
[2015-08-27 14:22:13] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-136: start client]
[2015-08-27 14:22:49] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-136: start client]
[2015-08-27 17:02:12] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-27 18:05:57] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-27 18:10:02] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
